City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Makinsk,KZ,2020-07-07 01:14:10,52.63,70.42,63.09,76,0,2.62
71,Broome,US,2020-07-07 01:13:55,42.25,-75.83,75.2,64,90,9.17
72,Esperance,AU,2020-07-07 01:13:48,-33.87,121.9,50.0,87,0,14.99
73,Shelburne,CA,2020-07-07 01:14:10,44.08,-80.2,84.2,45,20,6.93
74,Bayan,CN,2020-07-07 01:14:10,46.08,127.4,64.71,78,86,12.28
75,Mandalgovi,MN,2020-07-07 01:14:10,45.76,106.27,74.19,31,81,11.97
76,Kolosovka,RU,2020-07-07 01:14:11,56.47,73.61,62.78,88,93,3.11
77,Doha,QA,2020-07-07 01:14:11,25.29,51.53,93.0,70,0,5.82
78,Avarua,CK,2020-07-07 01:14:11,-21.21,-159.78,73.4,83,92,20.8
79,Bengkulu,ID,2020-07-07 01:09:36,-3.8,102.27,78.93,78,66,4.92
80,Alto Paraguai,BR,2020-07-07 01:14:11,-14.51,-56.48,75.24,46,0,5.5
81,Harer,ET,2020-07-07 01:14:11,9.31,42.13,57.88,85,68,8.1
82,Padang,ID,2020-07-07 01:13:31,-0.95,100.35,80.22,73,12,3.74
83,Boyabat,TR,2020-07-07 01:14:11,41.47,34.77,67.19,73,0,1.99
84,Bredasdorp,ZA,2020-07-07 01:14:11,-34.53,20.04,57.2,76,95,17.22
85,Klatovy,CZ,2020-07-07 01:14:12,49.4,13.3,50.0,76,0,2.24
86,Port Hardy,CA,2020-07-07 01:11:30,50.7,-127.42,60.8,72,90,10.29
87,Bethel,US,2020-07-07 01:12:41,41.37,-73.41,72.0,83,75,9.17
88,Caravelas,BR,2020-07-07 01:14:12,-17.71,-39.25,71.26,89,11,3.6
89,Darhan,MN,2020-07-07 01:14:12,49.49,105.92,74.61,47,0,6.13
90,Hofn,IS,2020-07-07 01:14:12,64.25,-15.21,50.36,75,0,9.46
91,Bandarbeyla,SO,2020-07-07 01:14:12,9.49,50.81,80.38,58,1,24.85
92,Dengzhou,CN,2020-07-07 01:14:13,37.81,120.75,75.99,81,6,9.71
93,Banda Aceh,ID,2020-07-07 01:13:58,5.56,95.32,81.37,75,79,2.62
94,Nikolskoye,RU,2020-07-07 01:14:13,59.7,30.79,59.0,87,23,4.47
95,Bima,ID,2020-07-07 01:14:13,-8.47,118.72,81.5,69,70,5.79
