City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
71,Larimna,GR,38.57,23.28,77.0,67,1,3.0,clear sky,0.0,0
72,Punta Arenas,CL,-53.15,-70.92,35.6,74,100,14.99,overcast clouds,0.0,0
73,Castro,BR,-24.79,-50.01,62.24,71,100,9.22,overcast clouds,0.0,0
74,Virginia Beach,US,36.85,-75.98,81.0,78,40,4.7,scattered clouds,0.0,0
75,Katangli,RU,51.71,143.23,58.75,77,100,10.42,overcast clouds,0.0,0
76,Palm Valley,US,30.18,-81.39,79.0,1,100,1.01,overcast clouds,0.0,0
77,Omsukchan,RU,62.53,155.8,66.49,45,99,9.98,overcast clouds,0.0,0
78,Bintulu,MY,3.17,113.03,84.2,79,20,3.36,few clouds,0.0,0
79,Kruisfontein,ZA,-34.0,24.73,45.7,86,0,5.79,clear sky,0.0,0
80,Dwarka,IN,22.24,68.97,84.24,85,47,8.52,light rain,0.0,0
81,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,57.2,93,90,13.42,overcast clouds,0.0,0
82,Makakilo City,US,21.35,-158.09,86.0,45,20,11.41,few clouds,0.0,0
83,Bethel,US,41.37,-73.41,68.0,100,90,3.36,mist,0.0,0
84,Bengkulu,ID,-3.8,102.27,81.63,73,9,5.82,clear sky,0.0,0
85,Yarmouth,US,41.71,-70.23,66.2,88,75,4.7,broken clouds,0.0,0
86,Esperance,AU,-33.87,121.9,51.8,87,33,14.99,scattered clouds,0.0,0
87,Mar Del Plata,AR,-38.0,-57.56,45.0,86,20,4.52,few clouds,0.0,0
88,Kavieng,PG,-2.57,150.8,84.99,73,4,13.27,light rain,0.0,0
89,Aitape,PG,-3.14,142.35,85.33,65,63,4.63,light rain,0.0,0
90,Katsuura,JP,35.13,140.3,77.0,94,75,31.09,light intensity shower rain,0.0,0
91,Avera,US,33.19,-82.53,77.0,93,90,5.53,overcast clouds,0.0,0
92,Bubaque,GW,11.28,-15.83,81.28,84,98,14.94,moderate rain,0.1,0
93,Zimovniki,RU,47.15,42.46,75.52,37,0,9.15,clear sky,0.0,0
94,Salalah,OM,17.02,54.09,82.4,88,75,3.36,broken clouds,0.0,0
95,Lorengau,PG,-2.02,147.27,85.19,72,25,11.32,scattered clouds,0.0,0
96,Kaitangata,NZ,-46.28,169.85,43.0,71,94,8.01,light rain,0.0,0
97,Amapa,BR,1.0,-52.0,70.84,96,48,1.01,scattered clouds,0.0,0
98,Galveston,US,29.37,-94.97,84.0,83,100,1.01,overcast clouds,0.0,0
99,Kopstal,LU,49.66,6.07,57.2,62,29,5.82,scattered clouds,0.0,0
100,New Norfolk,AU,-42.78,147.06,44.01,88,94,1.88,overcast clouds,0.0,0
101,Ulladulla,AU,-35.35,150.47,60.8,63,40,9.17,scattered clouds,0.0,0
102,Mahebourg,MU,-20.41,57.7,71.6,88,75,8.05,shower rain,0.0,0
103,Hamilton,US,39.18,-84.53,82.0,74,1,3.36,clear sky,0.0,0
104,Antofagasta,CL,-23.65,-70.4,57.2,87,20,20.8,few clouds,0.0,0
105,Cape Town,ZA,-33.93,18.42,50.0,92,17,4.61,few clouds,0.0,0
106,Casa Nova,BR,-9.42,-41.13,73.81,69,0,18.39,clear sky,0.0,0
107,Freeport,US,40.66,-73.58,77.0,83,75,12.1,broken clouds,0.0,0
108,Vila Franca Do Campo,PT,37.72,-25.43,66.2,77,20,5.82,few clouds,0.0,0
109,Sao Filipe,CV,14.9,-24.5,75.76,84,98,6.11,light rain,0.0,0
110,Sindor,RU,62.86,51.89,72.19,74,9,6.46,clear sky,0.0,0
111,Grand Gaube,MU,-20.01,57.66,70.0,85,2,5.01,clear sky,0.0,0
112,San Quintin,MX,30.48,-115.95,70.25,72,0,12.48,clear sky,0.0,0
113,Clyde River,CA,70.47,-68.59,37.4,100,90,9.17,mist,0.0,0
114,Hachinohe,JP,40.5,141.5,75.2,88,75,4.7,light intensity shower rain,0.0,0
115,Tuktoyaktuk,CA,69.45,-133.04,37.4,93,90,9.17,overcast clouds,0.0,0
116,Raga,SS,8.46,25.68,69.24,93,100,3.85,overcast clouds,0.0,0
117,Lata,PT,40.16,-8.33,66.0,92,1,1.01,clear sky,0.0,0
118,Sao Joao Da Barra,BR,-21.64,-41.05,71.73,87,0,16.08,clear sky,0.0,0
119,Aksarka,RU,66.56,67.8,67.44,66,100,5.75,overcast clouds,0.0,0
120,Komsomolskiy,UZ,40.43,71.72,77.0,31,0,6.93,clear sky,0.0,0
121,Butaritari,KI,3.07,172.79,83.55,73,5,12.55,clear sky,0.0,0
122,Fortuna,US,40.6,-124.16,64.99,77,1,14.99,clear sky,0.0,0
123,Nikolskoye,RU,59.7,30.79,57.99,82,20,4.47,few clouds,0.0,0
124,Mumbwa,ZM,-14.98,27.06,51.89,80,41,6.29,scattered clouds,0.0,0
125,Lebu,CL,-37.62,-73.65,47.84,80,100,3.89,moderate rain,0.1,0
126,Safranbolu,TR,41.25,32.69,65.61,86,60,1.77,broken clouds,0.0,0
127,Kachiry,KZ,53.07,76.1,70.36,61,50,6.44,scattered clouds,0.0,0
128,Puerto Carreno,CO,6.19,-67.49,77.29,87,95,3.85,overcast clouds,0.0,0
129,Hobart,AU,-42.88,147.33,46.0,70,40,8.05,scattered clouds,0.0,0
130,Umm Lajj,SA,25.02,37.27,79.03,52,0,4.59,clear sky,0.0,0
131,Cap Malheureux,MU,-19.98,57.61,70.0,85,3,5.01,clear sky,0.0,0
132,Upernavik,GL,72.79,-56.15,44.11,71,100,3.69,overcast clouds,0.0,0
133,Deputatskiy,RU,69.3,139.9,45.09,89,100,2.89,overcast clouds,0.0,0
134,Sobolevo,RU,54.43,31.9,52.41,90,100,10.87,overcast clouds,0.0,0
135,San Miguel Panan,GT,14.53,-91.37,54.0,89,97,1.74,light rain,0.0,0
136,Nanortalik,GL,60.14,-45.24,40.89,90,100,7.31,overcast clouds,0.0,0
137,Ilulissat,GL,69.22,-51.1,41.0,86,100,4.7,overcast clouds,0.0,0
138,Airai,TL,-8.93,125.41,68.31,74,76,4.83,broken clouds,0.0,0
139,Arraial Do Cabo,BR,-22.97,-42.03,72.1,81,0,25.99,clear sky,0.0,0
140,Fare,PF,-16.7,-151.02,77.67,80,73,24.81,light rain,0.0,0
141,Broken Hill,AU,-31.95,141.43,51.8,66,0,8.05,clear sky,0.0,0
142,Dicabisagan,PH,17.08,122.42,88.03,61,89,4.47,overcast clouds,0.0,0
143,Longyearbyen,SJ,78.22,15.64,42.8,75,75,19.46,light rain,0.0,0
144,Chiang Klang,TH,19.29,100.86,82.4,83,20,3.36,few clouds,0.0,0
145,Port Elizabeth,ZA,-33.92,25.57,44.6,93,0,2.24,clear sky,0.0,0
146,Taoudenni,ML,22.68,-3.98,97.74,9,0,18.32,clear sky,0.0,0
147,Quatre Cocos,MU,-20.21,57.76,71.6,88,75,8.05,shower rain,0.0,0
148,Neftcala,AZ,39.37,49.25,78.21,64,0,5.28,clear sky,0.0,0
149,Houma,US,29.6,-90.72,80.01,94,1,3.36,clear sky,0.0,0
150,Nicoya,CR,10.15,-85.45,76.1,85,5,3.44,clear sky,0.0,0
151,Saldanha,ZA,-33.01,17.94,52.63,69,0,10.02,clear sky,0.0,0
152,Bogorodskoye,RU,56.55,37.88,69.66,92,100,9.55,overcast clouds,0.0,0
153,Bhan,PK,26.56,67.72,97.47,31,100,7.36,overcast clouds,0.0,0
154,Homer,US,59.64,-151.55,60.8,72,1,14.99,clear sky,0.0,0
155,Tiksi,RU,71.69,128.87,35.85,94,100,4.47,overcast clouds,0.0,0
156,Tupelo,US,34.26,-88.7,78.8,83,75,3.36,light rain,0.0,0
157,Camacha,PT,33.08,-16.33,68.0,77,75,13.87,broken clouds,0.0,0
158,Wamba,NG,8.93,8.6,71.49,94,99,1.19,overcast clouds,0.0,0
159,Maniitsoq,GL,65.42,-52.9,40.28,94,100,12.08,light rain,0.0,0
160,Grindavik,IS,63.84,-22.43,46.4,87,75,9.17,broken clouds,0.0,0
161,Shahrud,IR,36.42,54.98,68.47,31,0,4.18,clear sky,0.0,0
162,Vanderhoof,CA,54.02,-124.02,68.13,46,51,6.91,broken clouds,0.0,0
